127.0.0.1 - - [31/Oct/2013:09:11:20 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [31/Oct/2013:09:11:21 +0530] "GET /WebRTC_presentation/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2013:09:11:21 +0530] "GET /WebRTC_presentation/start HTTP/1.1" 302 -
10.1.5.8 - - [31/Oct/2013:09:11:22 +0530] "GET /WebRTC_presentation/pageone/login.jsp HTTP/1.1" 200 6248
10.1.5.8 - - [31/Oct/2013:09:11:22 +0530] "GET /WebRTC_presentation/pageone/css/style_blue.css HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:11:23 +0530] "GET /WebRTC_presentation/pageone/images/footer_bg_blue.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:11:43 +0530] "GET /WebRTC_presentation/pageone/images/fancybox/fancybox-x.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:11:43 +0530] "GET /WebRTC_presentation/pageone/images/fancybox/fancybox-y.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:11:43 +0530] "GET /WebRTC_presentation/pageone/images/fancybox/fancybox.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:11:43 +0530] "GET /WebRTC_presentation/pageone/images/fancybox/blank.gif HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:11:43 +0530] "GET /WebRTC_presentation/pageone/css/fancybox.png HTTP/1.1" 404 1087
10.1.5.8 - - [31/Oct/2013:09:12:22 +0530] "GET /WebRTC_presentation/pageone/login.jsp HTTP/1.1" 200 6248
10.1.5.8 - - [31/Oct/2013:09:12:22 +0530] "GET /WebRTC_presentation/pageone/css/style_blue.css HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:23 +0530] "GET /WebRTC_presentation/pageone/images/footer_bg_blue.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:48 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.1.5.8 - - [31/Oct/2013:09:12:55 +0530] "POST /WebRTC_presentation/loginServlet HTTP/1.1" 302 -
10.1.5.8 - - [31/Oct/2013:09:12:55 +0530] "GET /WebRTC_presentation/loginsession?name=bob&pvt=sip:bob@tcs.com&pub=bob&pass=bob&realm=tcs.com&serverip=10.1.5.8 HTTP/1.1" 302 -
10.1.5.8 - - [31/Oct/2013:09:12:55 +0530] "GET /WebRTC_presentation/pageone/home.jsp HTTP/1.1" 200 10195
10.1.5.8 - - [31/Oct/2013:09:12:55 +0530] "GET /WebRTC_presentation/pageone/vaibhav.css HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:55 +0530] "GET /WebRTC_presentation/pageone/images/services/webdesign_blue.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:56 +0530] "GET /WebRTC_presentation/pageone/images/services/webdevelopment_blue.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:56 +0530] "GET /WebRTC_presentation/pageone/images/services/seo-services_blue.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:56 +0530] "GET /WebRTC_presentation/pageone/images/services/logo-design-and-branding_blue.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:56 +0530] "GET /WebRTC_presentation/pageone/images/section-sep.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:57 +0530] "GET /WebRTC_presentation/pageone/friendbook.jsp HTTP/1.1" 200 9636
10.1.5.8 - - [31/Oct/2013:09:12:57 +0530] "GET /WebRTC_presentation/sipml5/callim.jsp?ip=10.1.5.8&name=bob&privateIdentity=sip:bob@tcs.com&realm=tcs.com HTTP/1.1" 200 74446
10.1.5.8 - - [31/Oct/2013:09:12:57 +0530] "GET /WebRTC_presentation/pageone/images/iconphone.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:58 +0530] "GET /WebRTC_presentation/pageone/images/iconbook.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:58 +0530] "GET /WebRTC_presentation/pageone/images/iconmenu.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:58 +0530] "GET /WebRTC_presentation/pageone/images/iconstar.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:58 +0530] "GET /WebRTC_presentation/sipml5/assets/style/gemoticons.css HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:57 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:testd@tcs.com&action=getProfilePic HTTP/1.1" 200 6381
10.1.5.8 - - [31/Oct/2013:09:12:58 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:alice@tcs.com&action=getProfilePic HTTP/1.1" 200 4075
10.1.5.8 - - [31/Oct/2013:09:12:57 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:stun@tcs.com&action=getProfilePic HTTP/1.1" 200 4050
10.1.5.8 - - [31/Oct/2013:09:12:58 +0530] "GET /WebRTC_presentation/CreateUserServlet1?id=sip:bob@tcs.com&action=getProfilePic HTTP/1.1" 200 12339
10.1.5.8 - - [31/Oct/2013:09:12:58 +0530] "GET /WebRTC_presentation/sipml5/presentation_server_config.txt HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:58 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:altanai@tcs.com&action=getProfilePic HTTP/1.1" 200 159810
10.1.5.8 - - [31/Oct/2013:09:12:58 +0530] "GET /WebRTC_presentation/sipml5/friend.txt HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:59 +0530] "GET /WebRTC_presentation/sipml5/assets/js/jquery.min.js HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:12:59 +0530] "GET /WebRTC_presentation/sipml5/assets/js/jquery.gemoticons.js HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:00 +0530] "GET /WebRTC_presentation/sipml5/sounds/ringbacktone.wav HTTP/1.1" 206 44158
10.1.5.8 - - [31/Oct/2013:09:13:00 +0530] "GET /WebRTC_presentation/sipml5/sounds/dtmf.wav HTTP/1.1" 206 1658
10.1.5.8 - - [31/Oct/2013:09:13:00 +0530] "GET /WebRTC_presentation/sipml5/sounds/ringtone.wav HTTP/1.1" 206 282696
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/home.jsp HTTP/1.1" 200 10195
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/css/style_blue.css HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/vaibhav.css HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/css/nivo-slider.css HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/css/jquery.fancybox-1.3.4.css HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/js/init.js HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/js/jquery.smoothscroll.js HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/js/jquery.fancybox-1.3.4.pack.js HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/js/jquery.nivo.slider.pack.js HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/js/jquery.easing-1.3.pack.js HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/images/services/webdesign_blue.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/images/services/logo-design-and-branding_blue.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/images/services/seo-services_blue.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/images/services/webdevelopment_blue.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/images/header_bg_blue.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/images/bg_blue.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/images/tcs_logo.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/images/section-sep.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/images/footer_bg_blue.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/sipml5/callim.jsp?ip=10.1.5.8&name=bob&privateIdentity=sip:bob@tcs.com&realm=tcs.com HTTP/1.1" 200 74446
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/CreateUserServlet1?id=sip:bob@tcs.com&action=getProfilePic HTTP/1.1" 200 12339
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/friendbook.jsp HTTP/1.1" 200 9636
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/css/fonts/merriweather-bold-webfont.woff HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/images/bg_blue.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/images/iconbook.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:stun@tcs.com&action=getProfilePic HTTP/1.1" 200 4050
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/images/iconphone.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/images/iconmenu.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/pageone/images/iconstar.png HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:testd@tcs.com&action=getProfilePic HTTP/1.1" 200 6381
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:alice@tcs.com&action=getProfilePic HTTP/1.1" 200 4075
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:altanai@tcs.com&action=getProfilePic HTTP/1.1" 200 159810
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/sipml5/sounds/ringtone.wav HTTP/1.1" 206 282696
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/sipml5/sounds/dtmf.wav HTTP/1.1" 206 1658
10.1.5.8 - - [31/Oct/2013:09:13:07 +0530] "GET /WebRTC_presentation/sipml5/sounds/ringbacktone.wav HTTP/1.1" 206 44158
10.1.5.8 - - [31/Oct/2013:09:14:37 +0530] "GET /WebRTC_presentation/pageone/friendbook.jsp HTTP/1.1" 200 9636
10.1.5.8 - - [31/Oct/2013:09:14:37 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:stun@tcs.com&action=getProfilePic HTTP/1.1" 200 4050
10.1.5.8 - - [31/Oct/2013:09:14:37 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:testd@tcs.com&action=getProfilePic HTTP/1.1" 200 6381
10.1.5.8 - - [31/Oct/2013:09:14:37 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:alice@tcs.com&action=getProfilePic HTTP/1.1" 200 4075
10.1.5.8 - - [31/Oct/2013:09:14:37 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:altanai@tcs.com&action=getProfilePic HTTP/1.1" 200 159810
10.1.5.8 - - [31/Oct/2013:09:16:08 +0530] "GET /WebRTC_presentation/pageone/friendbook.jsp HTTP/1.1" 200 9636
10.1.5.8 - - [31/Oct/2013:09:16:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:stun@tcs.com&action=getProfilePic HTTP/1.1" 200 4050
10.1.5.8 - - [31/Oct/2013:09:16:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:testd@tcs.com&action=getProfilePic HTTP/1.1" 200 6381
10.1.5.8 - - [31/Oct/2013:09:16:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:alice@tcs.com&action=getProfilePic HTTP/1.1" 200 4075
10.1.5.8 - - [31/Oct/2013:09:16:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:altanai@tcs.com&action=getProfilePic HTTP/1.1" 200 159810
10.1.5.8 - - [31/Oct/2013:09:17:38 +0530] "GET /WebRTC_presentation/pageone/friendbook.jsp HTTP/1.1" 200 9636
10.1.5.8 - - [31/Oct/2013:09:17:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:stun@tcs.com&action=getProfilePic HTTP/1.1" 200 4050
10.1.5.8 - - [31/Oct/2013:09:17:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:alice@tcs.com&action=getProfilePic HTTP/1.1" 200 4075
10.1.5.8 - - [31/Oct/2013:09:17:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:testd@tcs.com&action=getProfilePic HTTP/1.1" 200 6381
10.1.5.8 - - [31/Oct/2013:09:17:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:altanai@tcs.com&action=getProfilePic HTTP/1.1" 200 159810
10.1.5.8 - - [31/Oct/2013:09:19:08 +0530] "GET /WebRTC_presentation/pageone/friendbook.jsp HTTP/1.1" 200 9636
10.1.5.8 - - [31/Oct/2013:09:19:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:stun@tcs.com&action=getProfilePic HTTP/1.1" 200 4050
10.1.5.8 - - [31/Oct/2013:09:19:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:testd@tcs.com&action=getProfilePic HTTP/1.1" 200 6381
10.1.5.8 - - [31/Oct/2013:09:19:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:altanai@tcs.com&action=getProfilePic HTTP/1.1" 200 159810
10.1.5.8 - - [31/Oct/2013:09:19:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:alice@tcs.com&action=getProfilePic HTTP/1.1" 200 4075
10.1.5.8 - - [31/Oct/2013:09:20:38 +0530] "GET /WebRTC_presentation/pageone/friendbook.jsp HTTP/1.1" 200 9636
10.1.5.8 - - [31/Oct/2013:09:20:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:stun@tcs.com&action=getProfilePic HTTP/1.1" 200 4050
10.1.5.8 - - [31/Oct/2013:09:20:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:alice@tcs.com&action=getProfilePic HTTP/1.1" 200 4075
10.1.5.8 - - [31/Oct/2013:09:20:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:testd@tcs.com&action=getProfilePic HTTP/1.1" 200 6381
10.1.5.8 - - [31/Oct/2013:09:20:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:altanai@tcs.com&action=getProfilePic HTTP/1.1" 200 159810
10.1.5.8 - - [31/Oct/2013:09:22:08 +0530] "GET /WebRTC_presentation/pageone/friendbook.jsp HTTP/1.1" 200 9636
10.1.5.8 - - [31/Oct/2013:09:22:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:stun@tcs.com&action=getProfilePic HTTP/1.1" 200 4050
10.1.5.8 - - [31/Oct/2013:09:22:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:alice@tcs.com&action=getProfilePic HTTP/1.1" 200 4075
10.1.5.8 - - [31/Oct/2013:09:22:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:altanai@tcs.com&action=getProfilePic HTTP/1.1" 200 159810
10.1.5.8 - - [31/Oct/2013:09:22:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:testd@tcs.com&action=getProfilePic HTTP/1.1" 200 6381
10.1.5.8 - - [31/Oct/2013:09:23:38 +0530] "GET /WebRTC_presentation/pageone/friendbook.jsp HTTP/1.1" 200 9636
10.1.5.8 - - [31/Oct/2013:09:23:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:stun@tcs.com&action=getProfilePic HTTP/1.1" 200 4050
10.1.5.8 - - [31/Oct/2013:09:23:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:alice@tcs.com&action=getProfilePic HTTP/1.1" 200 4075
10.1.5.8 - - [31/Oct/2013:09:23:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:testd@tcs.com&action=getProfilePic HTTP/1.1" 200 6381
10.1.5.8 - - [31/Oct/2013:09:23:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:altanai@tcs.com&action=getProfilePic HTTP/1.1" 200 159810
10.1.5.8 - - [31/Oct/2013:09:25:08 +0530] "GET /WebRTC_presentation/pageone/friendbook.jsp HTTP/1.1" 200 9636
10.1.5.8 - - [31/Oct/2013:09:25:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:stun@tcs.com&action=getProfilePic HTTP/1.1" 200 4050
10.1.5.8 - - [31/Oct/2013:09:25:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:testd@tcs.com&action=getProfilePic HTTP/1.1" 200 6381
10.1.5.8 - - [31/Oct/2013:09:25:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:alice@tcs.com&action=getProfilePic HTTP/1.1" 200 4075
10.1.5.8 - - [31/Oct/2013:09:25:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:altanai@tcs.com&action=getProfilePic HTTP/1.1" 200 159810
10.1.5.8 - - [31/Oct/2013:09:26:38 +0530] "GET /WebRTC_presentation/pageone/friendbook.jsp HTTP/1.1" 200 9636
10.1.5.8 - - [31/Oct/2013:09:26:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:alice@tcs.com&action=getProfilePic HTTP/1.1" 200 4075
10.1.5.8 - - [31/Oct/2013:09:26:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:stun@tcs.com&action=getProfilePic HTTP/1.1" 200 4050
10.1.5.8 - - [31/Oct/2013:09:26:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:testd@tcs.com&action=getProfilePic HTTP/1.1" 200 6381
10.1.5.8 - - [31/Oct/2013:09:26:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:altanai@tcs.com&action=getProfilePic HTTP/1.1" 200 159810
10.1.5.8 - - [31/Oct/2013:09:28:08 +0530] "GET /WebRTC_presentation/pageone/friendbook.jsp HTTP/1.1" 200 9636
10.1.5.8 - - [31/Oct/2013:09:28:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:stun@tcs.com&action=getProfilePic HTTP/1.1" 200 4050
10.1.5.8 - - [31/Oct/2013:09:28:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:alice@tcs.com&action=getProfilePic HTTP/1.1" 200 4075
10.1.5.8 - - [31/Oct/2013:09:28:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:testd@tcs.com&action=getProfilePic HTTP/1.1" 200 6381
10.1.5.8 - - [31/Oct/2013:09:28:08 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:altanai@tcs.com&action=getProfilePic HTTP/1.1" 200 159810
10.1.5.8 - - [31/Oct/2013:09:28:55 +0530] "GET /WebRTC_presentation/sipml5/expert.htm HTTP/1.1" 304 -
10.1.5.8 - - [31/Oct/2013:09:29:38 +0530] "GET /WebRTC_presentation/pageone/friendbook.jsp HTTP/1.1" 200 9636
10.1.5.8 - - [31/Oct/2013:09:29:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:stun@tcs.com&action=getProfilePic HTTP/1.1" 200 4050
10.1.5.8 - - [31/Oct/2013:09:29:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:alice@tcs.com&action=getProfilePic HTTP/1.1" 200 4075
10.1.5.8 - - [31/Oct/2013:09:29:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:testd@tcs.com&action=getProfilePic HTTP/1.1" 200 6381
10.1.5.8 - - [31/Oct/2013:09:29:38 +0530] "GET /UploadPicsAudioVideo/CreateUserServlet?id=sip:altanai@tcs.com&action=getProfilePic HTTP/1.1" 200 159810
10.1.5.8 - - [31/Oct/2013:09:31:00 +0530] "GET /WebRTC_presentation/logoutServlet HTTP/1.1" 302 -
10.1.5.8 - - [31/Oct/2013:09:31:00 +0530] "GET /WebRTC_presentation/pageone/login.jsp HTTP/1.1" 200 6248
10.1.5.34 - - [31/Oct/2013:09:31:59 +0530] "GET /WebRTC_presentation/pageone/login.jsp HTTP/1.1" 200 6248
10.1.5.34 - - [31/Oct/2013:09:31:59 +0530] "GET /WebRTC_presentation/pageone/css/style_blue.css HTTP/1.1" 200 18565
10.1.5.34 - - [31/Oct/2013:09:31:59 +0530] "GET /WebRTC_presentation/pageone/css/nivo-slider.css HTTP/1.1" 200 1505
10.1.5.34 - - [31/Oct/2013:09:31:59 +0530] "GET /WebRTC_presentation/pageone/js/jquery.smoothscroll.js HTTP/1.1" 200 1446
10.1.5.34 - - [31/Oct/2013:09:32:00 +0530] "GET /WebRTC_presentation/pageone/css/jquery.fancybox-1.3.4.css HTTP/1.1" 200 9297
10.1.5.34 - - [31/Oct/2013:09:31:59 +0530] "GET /WebRTC_presentation/pageone/js/jquery.easing-1.3.pack.js HTTP/1.1" 200 6717
10.1.5.34 - - [31/Oct/2013:09:32:00 +0530] "GET /WebRTC_presentation/pageone/js/jquery.nivo.slider.pack.js HTTP/1.1" 200 15919
10.1.5.34 - - [31/Oct/2013:09:32:00 +0530] "GET /WebRTC_presentation/Validations/JS/login.js HTTP/1.1" 200 1035
10.1.5.34 - - [31/Oct/2013:09:31:59 +0530] "GET /WebRTC_presentation/Validations/JS/newregistration.js HTTP/1.1" 200 3851
10.1.5.34 - - [31/Oct/2013:09:31:59 +0530] "GET /WebRTC_presentation/pageone/js/init.js HTTP/1.1" 200 1240
10.1.5.34 - - [31/Oct/2013:09:31:59 +0530] "GET /WebRTC_presentation/pageone/js/jquery.fancybox-1.3.4.pack.js HTTP/1.1" 200 15624
10.1.5.34 - - [31/Oct/2013:09:31:59 +0530] "GET /WebRTC_presentation/pageone/images/tcs_logo.png HTTP/1.1" 200 35317
10.1.5.34 - - [31/Oct/2013:09:31:59 +0530] "GET /WebRTC_presentation/pageone/images/slides/images.jpg HTTP/1.1" 200 28819
10.1.5.34 - - [31/Oct/2013:09:31:59 +0530] "GET /WebRTC_presentation/pageone/images/bg_blue.png HTTP/1.1" 200 3262
10.1.5.34 - - [31/Oct/2013:09:31:59 +0530] "GET /WebRTC_presentation/pageone/images/footer_bg_blue.png HTTP/1.1" 200 62660
10.1.5.34 - - [31/Oct/2013:09:31:59 +0530] "GET /WebRTC_presentation/pageone/images/header_bg_blue.png HTTP/1.1" 200 548310
10.1.5.34 - - [31/Oct/2013:09:31:59 +0530] "GET /WebRTC_presentation/pageone/css/fonts/merriweather-bold-webfont.woff HTTP/1.1" 200 33212
10.1.5.34 - - [31/Oct/2013:09:32:01 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.1.5.34 - - [31/Oct/2013:09:32:18 +0530] "POST /WebRTC_presentation/loginServlet HTTP/1.1" 302 -
10.1.5.34 - - [31/Oct/2013:09:32:18 +0530] "GET /WebRTC_presentation/loginsession?name=cred&pvt=sip:cred@tcs.com&pub=cred&pass=cred&realm=tcs.com&serverip=10.1.5.8 HTTP/1.1" 302 -
10.1.5.34 - - [31/Oct/2013:09:32:19 +0530] "GET /WebRTC_presentation/pageone/home.jsp HTTP/1.1" 200 10221
10.1.5.34 - - [31/Oct/2013:09:32:19 +0530] "GET /WebRTC_presentation/pageone/vaibhav.css HTTP/1.1" 200 2639
10.1.5.34 - - [31/Oct/2013:09:32:19 +0530] "GET /WebRTC_presentation/pageone/images/alice.png HTTP/1.1" 200 11538
10.1.5.34 - - [31/Oct/2013:09:32:19 +0530] "GET /WebRTC_presentation/pageone/images/services/webdesign_blue.png HTTP/1.1" 200 8658
10.1.5.34 - - [31/Oct/2013:09:32:19 +0530] "GET /WebRTC_presentation/pageone/images/services/webdevelopment_blue.png HTTP/1.1" 200 11382
10.1.5.34 - - [31/Oct/2013:09:32:19 +0530] "GET /WebRTC_presentation/pageone/images/services/logo-design-and-branding_blue.png HTTP/1.1" 200 10344
10.1.5.34 - - [31/Oct/2013:09:32:19 +0530] "GET /WebRTC_presentation/pageone/images/services/seo-services_blue.png HTTP/1.1" 200 12231
