127.0.0.1 - - [12/Nov/2013:10:57:45 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [12/Nov/2013:10:57:46 +0530] "GET /WebRTC_presentation/start HTTP/1.1" 302 -
10.1.5.6 - - [12/Nov/2013:10:57:46 +0530] "GET /WebRTC_presentation/pageone/login.jsp HTTP/1.1" 200 6237
10.1.5.6 - - [12/Nov/2013:10:57:47 +0530] "GET /WebRTC_presentation/pageone/css/fancybox.png HTTP/1.1" 404 1087
10.1.5.6 - - [12/Nov/2013:10:58:22 +0530] "GET /WebRTC_presentation/pageone/login.jsp HTTP/1.1" 200 6237
10.1.5.6 - - [12/Nov/2013:10:58:30 +0530] "GET /favicon.ico HTTP/1.1" 404 988
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/pageone/login.jsp HTTP/1.1" 200 6237
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/pageone/css/style_blue.css HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/pageone/js/jquery.smoothscroll.js HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/Validations/JS/newregistration.js HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/pageone/css/jquery.fancybox-1.3.4.css HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/pageone/css/nivo-slider.css HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/pageone/js/init.js HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/pageone/js/jquery.fancybox-1.3.4.pack.js HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/pageone/js/jquery.nivo.slider.pack.js HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/pageone/images/tcs_logo.png HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/pageone/js/jquery.easing-1.3.pack.js HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/Validations/JS/login.js HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/pageone/images/slides/images.jpg HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/pageone/images/header_bg_blue.png HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/pageone/images/bg_blue.png HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/pageone/images/footer_bg_blue.png HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:03 +0530] "GET /WebRTC_presentation/pageone/css/fonts/merriweather-bold-webfont.woff HTTP/1.1" 304 -
10.1.5.6 - - [12/Nov/2013:10:59:38 +0530] "POST /WebRTC_presentation/loginServlet HTTP/1.1" 302 -
10.1.5.6 - - [12/Nov/2013:10:59:38 +0530] "GET /WebRTC_presentation/loginsession?name=bob&pvt=sip:bob@tcs.com&pub=bob&pass=bob&realm=tcs.com&serverip=10.1.5.6 HTTP/1.1" 302 -
